Math Vocabulary,Theorems,Mathematical Concepts,Jargon

"feedback" "improvements via github.com, which greatly improved"
"machine learning","the second part of the book introduces four pillars of machine learning."
"parameter estimation","the three components of machine learning (data, models, and parameter estimation) in a mathematical fashion."
"linear regression","a close look at linear regression, our objective is to find functions that map inputs x € IR” to co."
"machine learning","Machine learning builds upon the language of mathematics to express concepts that seem intuitively obvious but that are surprisingly difficult to formalize."
"formalize","Once formalized properly, we can gain insights into the task we want to solve."
"topics","One common complaint of students of mathematics around the globe is that the topics covered seem to have li"
"vector","a vector as an array of numbers (a computer science view), a vector as an arrow with a direction and magnitude (a physics view), and a vector as an object that obeys addition and scaling (a mathematical view)"
"model","a model is typically used to describe a process for generating data, similar to the dataset at hand"
"training","training the model means to use the data available to optimize some parameters of the model with respect to a utility function that evaluates how well the model predicts the training data"
"utility function","a utility function that evaluates how well the model predicts the training data"
"underlying","principles."
"mathematical style","written in an academic mathematical style."
"machine learning","the concepts behind machine learning."
"derivatives","the reader should have seen derivatives."
"integrals","the reader should have seen integrals."
"geometric vectors","geometric vectors in two or three dimensions."
"two dimensions","geometric vectors in two or three dimensions."
"three dimensions","geometric vectors in two or three dimensions."
"generalize","we generalize these concepts."
"target audience","the target audience of the book includes undergraduate university students, evening learners and learners participating in online machine learning courses."
"data",""
"model",""
"learning",""
"linear algebra",""
"analytic geometry",""
"matrix decomposition",""
"Vector Calculus",""
"Probability & Distributions",""
"Optimization",""
"mathematical concepts","link mathematical concepts with machine learning algorithms"
"on form",""

"particular solution",""

"general solution",""

"pivot",""

"row-echelon form","(REF)."

"leading coefficient","first nonzero number from the left"

"basic variable",""

"free variable",""

"augmented matrix",""

"system of linear equations",""

"constructive way",""

"pivots",""

"staircase structure",""

"strictly to the right of",""
"algebra","Different types of vectors."
"vectors","Vectors can be surprising objects, including (a) geometric vectors and (b) polynomials."
"uncertainty","Allow us to express some sort of uncertainty, e.g., to quantify the confidence we have about the value of the prediction at a particular test data point."
"probability theory","Quantification of uncertainty is the realm of probability theory."
"parameters","To train machine learning models, we typically find parameters that maximize some performance measure."
"optimization techniques","Many optimization techniques require the concept of a gradient."
"gradient","Tells us the direction in which to search for a solution."
"predictor","a system that makes predictions based on input data"
"training","the adaptation of internal parameters of the predictor to perform well on future unseen input data"
"data as vectors","a representation of data in the form of vectors"
"model","a mathematical representation of a system used for predictions"
"algorithm","a system used for making predictions or adapting internal parameters in machine learning" 
"machine learning","a branch of artificial intelligence that focuses on the development of algorithms that enable computers to learn from and make predictions based on data"
"Machine learning","The latest in a long line of attempts to distill human knowledge and reasoning into a form suitable for constructing machines and engineering automated systems."
"Algorithms","A set of design decisions and methodologies that dictate how machine learning processes data."
"Programming languages","Languages used to write software or scripts for data analysis and automation."
"Data analysis tools","Software tools that assist in examining and interpreting data."
"Large-scale computation","The process of using at least one computer system to solve large data problems effectively."
"Mathematics","The abstract science of number, quantity, and space, used as a foundation in machine learning."
"Statistics","The branch of mathematics dealing with data collection, analysis, interpretation, presentation, and organization."
"optimal production plan","a plan of how many units x; of product N; should be produced if a total of b; units of resource R; are available and (ideally) no resources are left over."
"system of linear equations","a collection of one or more linear equations involving the same variables."
"solution","an n-tuple (21,...,2n) € R” that satisfies the system of linear equations."
"linear equations","equations that graph as straight lines and have the form ax + by + c = 0." 
"n-tuple","an ordered list of n elements, often used to refer to solutions in vector space R.”
"data","Noisy observations of some true underlying signal."
"machine learning","A method to identify the signal from the noise."
"noise","An unwanted or irrelevant signal that obscures the true signal."
"predictors","Variables used for forecasting outcomes."
"performance measure","A metric used to assess how well a model performs."
"training data","The dataset used to train a machine learning model."
"generalize","The ability of a model to perform well on unseen data."
"unseen data","Observations that were not part of the training dataset."
"Vectors","Sent data as vectors."
"Probabilistic","Using the probabilistic view to model data."
"Optimization","Using the optimization view to model data."
"Numerical optimization methods","Methods aimed at improving model performance on unseen data."
"Machine learning","Field of study focused on algorithms and statistical models."
"Bottom-up","Strategy of understanding concepts from foundational to advanced."
"Top-down","Strategy of understanding concepts from practical needs to basic requirements."
"dot product","the product of the corresponding row and column of matrices A and B, summing them up."
"matrices","mathematical structures consisting of rows and columns used for representing data or relationships."
"dimension","a measurable extent of some kind, such as width, height, or length, required for matrix multiplication to be possible."
"matrix multiplication","the process of multiplying two matrices by taking the dot product of rows and columns."
"element-wise operation","an operation that is performed independently on each corresponding element of the matrices."
"Hadamard product","element-wise multiplication of two matrices."
"polynomial","a mathematical expression involving a sum of powers in one or more variables multiplied by coefficients."
"scalar","a real number that can multiply a vector."
"vector","an object that has magnitude and direction, it can also represent an abstract quantity like polynomials or audio signals."
"audio signal","a representation of sound waves as a series of numbers that can be added or scaled."
"R”","the set of tuples of n real numbers, representing higher-dimensional vectors."
"component-wise","the method of adding or multiplying vectors such that corresponding components are operated on independently."
"principal diagonal","the collection of entries Ajj where i = j."
"symmetric matrix","a matrix that is equal to its transpose."
"square matrix","a matrix with the same number of rows and columns."
"associativity","the property that (AB)C = A(BC)."
"distributivity","the property that A(B + C) = AB + AC."
"matrix multiplication","a binary operation that produces a matrix from two matrices."
"system of linear equations","a collection of one or more linear equations with the same variables."
"R”","Represents a real coordinate space of n dimensions."
"scaled vector" ,"A vector that has been multiplied by a scalar."
"vectors" ,"Elements of R” that can be added or multiplied by scalars."
"linear algebra" ,"A branch of mathematics that studies vector spaces and linear mappings."
"finite-dimensional vector spaces" ,"Vector spaces where the number of dimensions is finite."
"1:1 correspondence" ,"A relationship where each element in one set relates to exactly one element in another set."
"closure" ,"A property related to a set being closed under a specific operation."
"array operations" ,"Operations that are performed on arrays, often supported by programming languages."
"machine learning","A field of study that involves algorithms and methodologies for teaching computers to learn from data."
"algorithms","Step-by-step procedures or formulas for solving problems, often used in computer programming and machine learning."
"methodologies","Structured approaches or techniques used in a particular field of study, such as machine learning."
"mathematics","The abstract science of number, quantity, and space, either as abstract concepts (pure mathematics), or as applied to other disciplines such as physics and engineering (applied mathematics)."
"statistics","The study of collecting, analyzing, interpreting, presenting, and organizing data."
"Linearly Independent Vectors","A set of vectors that have no redundancy; removing any vector from the set results in loss of information."
"Linear Combinations","A combination of vectors where each vector is multiplied by a scalar and summed together."
"Vector Space","A mathematical construct consisting of a set of vectors that can be added together and multiplied by scalars."
"Matrix","A rectangular array of numbers or symbols arranged in rows and columns."
"Testing Linearly Independent","The act of determining whether a set of vectors are linearly independent by checking if a linear combination equals zero."
"Linear algebra","plays an important role in machine learning and general mathematics."
"geometry","the idea expanded in Chapter 3."
"vector calculus","where a principled knowledge of matrix operations is essential."
"projections","for dimensionality reduction with principal component analysis (PCA)."
"linear regression","plays a central role for solving least-squares problems."
"Systems of linear equations","play a central part of linear algebra."
"least-squares problems","many problems can be formulated as systems of linear equations."
"matrix operations","essential for vector calculus."
"concept","a particular idea or theme in mathematics that has importance for understanding"
"foundational concepts","basic mathematical ideas that serve as the basis for further knowledge or application"
"machine learning","a field of study that involves algorithms and statistical models that enable computers to perform tasks without explicit instructions"
"regression","a statistical method for modeling the relationship between a dependent variable and one or more independent variables"
"dimensionality reduction","the process of reducing the number of variables under consideration to simplify a dataset"
"density estimation","a technique used to estimate the probability distribution of a random variable"
"classification","a process in machine learning of identifying the category of new observations based on training data"
"standard basis","of IR"
"matrix","P» that performs the basis change from C to OC’"
"homomorphism","@ : R? —> IR°"
"transformation matrix","A of ® with respect to the ordered bases B and C"
"coordinates","of x in B’ are [2,3]'"
"basis","B"
"basis","C"
"solution space","the set of all possible solutions to a system of equations"
"linear equation","an equation that models a linear relationship between variables"
"plane","a flat, two-dimensional surface in three-dimensional space"
"intersect","to meet or cross at a point or line"
"solution set","a collection of values that satisfy a given system of equations"
"coefficients","numerical factors that multiply the variables in an equation"
"vectors","mathematical objects that have both a magnitude and a direction"
"matrices","rectangular arrays of numbers used to represent a system of equations"
"geometrically interpreted","understood in terms of geometric representations or visualizations"
"intersection of two lines","the point at which two lines meet in a plane"
"Linear Independence","the “506 km Northwest” vector and the “374 km Southwest” vector are linearly independent."
"Vector Space","the geographic coordinate system may be considered a two-dimensional vector space."
"Linear Combination","the third “751 km West” vector (black) is a linear combination of the other two vectors."
"methods","approach analogous to climbing a hill to reach its peak."
"classification","discussed in the context of support vector machines."
"support vector machines","a type of machine learning algorithm used for classification tasks."
"regression","where labels are real-valued."
"inputs","variables used in algorithms that correspond to outputs."
"labels","values corresponding to the inputs in a classification task."
"integers","the type of labels used in classification, as opposed to real-valued labels in regression."
"exercises","tasks provided to reinforce learning in Part I of the book."
"programming tutorials","instructional materials provided in Part II, using jupyter notebooks."
"machine learning algorithms","methods and techniques discussed in the book for analyzing data."
"Vectors","Sets of mathematical entities with both magnitude and direction.",
"Linear Transformations","Mappings between vector spaces that preserve the operations of vector addition and scalar multiplication.",
"Rotation","A transformation that turns a figure around a fixed point by a certain angle.",
"Stretching","A transformation that increases or decreases the distance of points from a certain axis.",
"Reflection","A transformation that flips a figure over a specified line or plane.",
"Transformation Matrices","Matrices that represent linear transformations.",
"Linear Mappings","Maps that maintain the structure of vector spaces under addition and multiplication."
"system of linear equations","A collection of one or more linear equations involving the same variables."
"particular solution","A specific solution to a system of equations."
"special solution","A unique solution that satisfies the conditions of a specific case."
"general solution","A solution that contains all possible solutions of the system."
"elementary transformations","Operations that can be performed on a matrix to alter its form without changing its solution set." 
"scaling","Multiplying a solution vector by a non-zero scalar to produce another solution." 
"0 vector","A vector in which all components are zero."
"columns of the matrix","Vertical arrays of numbers in a matrix that represent coefficients of variables in equations."
"Inverse","the desired inverse is given as its right-hand side"
"Multi-plication","performing the multiplication AA~' and observing that we recover I"
"System of Linear Equations","solving a system of linear equations of the form Aa = b"
"Linear Regression","approach of linear regression, which we discuss in detail in Chapter 9"
"Square Matrix","only possible if A is a square matrix and invertible"
"Invertible","only possible if A is a square matrix and invertible"
"system of linear equations","a collection of two or more linear equations with the same set of variables."
"elementary transformations","transformations that keep the solution set the same but simplify the equation system."
"Exchange of two equations","a transformation that involves swapping two equations (rows in the matrix) representing the system of equations."
"Multiplication of an equation with a constant","a transformation that involves multiplying an equation (row) by a non-zero constant from the set of real numbers."
"Addition of two equations","a transformation that involves adding two equations (rows) in the matrix."
"compact matrix notation","a concise representation of a system of equations in the form Aw = b."
"Systems of Linear Equations","A set of equations where each equation is linear and the solutions are the values of the variables that satisfy all equations simultaneously."
"solution set","The set of all possible solutions to a system of linear equations."
"infinitely many solutions","A condition where there are countless solutions to the system of linear equations."
"Linear regression","A statistical method used to solve a linear equation system, particularly when a direct solution is not possible."
"Geometric Interpretation of Systems of Linear Equations","A visual representation where each linear equation corresponds to a line on a plane, and solutions are found at the intersections of these lines."
"intersection of these lines","The set of points where the lines from the linear equations meet, representing the solutions."
"parallel lines","Lines that never intersect and thus represent a system of linear equations with no solutions."
"Systems of Linear Equations", "A collection of one or more linear equations involving the same set of variables."

"pivot columns", "Columns in a matrix that correspond to the leading 1s in the row-echelon form or reduced row-echelon form."

"particular solution", "A specific solution to a system of linear equations that satisfies all equations in the system."

"reduced row-echelon form", "A matrix form where it is in row-echelon form, every pivot is 1, and the pivot is the only nonzero entry in its column."

"row-echelon form", "A form of a matrix where all nonzero rows are above any rows of all zeros and the leading coefficient of a nonzero row is always to the right of the leading coefficient of the previous row."
"Angle","The angle between two vectors tells us how similar their orientations are."
"Dot product","A method to compute the angle between two vectors using their magnitudes and orientations."
"Inner product","A generalization of the dot product used in various vector spaces."
"Orthogonality","Two vectors are orthogonal if their inner product is zero, meaning they are at right angles to each other."
"Arccos","The inverse function of cosine, used to determine the angle from its cosine value."
"linear independence","{a1,...,@,,} are linearly independent if and only if the column vectors {A1,..., Am} are linearly independent."
"linear combinations","m linear combinations of k vectors 2, ..., Lj are linearly dependent if m > k."
"linearly dependent","m linear combinations of k vectors 2, ..., Lj are linearly dependent if m > k."
"vector space","Let V = (V,+,-) be a vector space and B C V,B # ()"
"basis","B is a basis of V."
"minimal generating set","B is a minimal generating set."
"maximal linearly independent set","B is a maximal linearly independent set of vectors."
"sets of vectors","A that possess the property that any vector v € V can be obtained by a linear combination of vectors in A."
"linear combination","A combination of vectors formed by multiplying each vector by a scalar and adding the results."
"generating set","A set of vectors A and the property that every vector v € V can be expressed as a linear combination of those vectors."
"span","The set of all linear combinations of vectors in A."
"vector space","A collection of vectors that can be added together and multiplied by scalars."
"basis","The smallest generating set that spans a vector (sub)space."
"matrix","A real-valued (m,n) matrix A is an m-n-tuple of elements a;;,i = 1,...,m, j =1,...,n."
"row","A horizontal line of elements in a matrix."
"column","A vertical line of elements in a matrix."
"row vector","A matrix with a single row."
"column vector","A matrix with a single column."
"linear functions","Represent linear mappings, as indicated in the text."
"linear algebra","The branch of mathematics dealing with vector spaces and linear mappings between them."
"operations","Actions that can be performed with matrices, such as addition and multiplication."
"linear mapping","a function that maps vectors from one vector space to another while preserving the operations of vector addition and scalar multiplication."
"transformation matrix","a matrix that represents a linear transformation in a specific basis."
"basis change","the process of changing the set of vectors that span a vector space."
"ordered bases","a specific arrangement of basis vectors in a vector space."
"transformation mapping","the relationship between the original and transformed vector spaces under a linear mapping."
"reflection","a transformation that flips points over a specified line or plane."
"rotation","a transformation that turns a figure around a fixed point."
"stretch","a transformation that expands or compresses points away from or towards a fixed point."
"Row-Echelon Form","A matrix is in row-echelon form if all rows that contain only zeros are at the bottom of the matrix; correspondingly, all rows that contain at least one nonzero element are on top of rows that contain only zeros."
"Pivot","The first nonzero number from the left in a nonzero row, also called the leading coefficient."
"Basic Variables","The variables corresponding to the pivots in the row-echelon form."
"Free Variables","The variables that are not basic variables in the row-echelon form."
"Inverse element","If the inverse exists (A is regular), then A-' is the inverse element of A € R”*”"
"General Linear Group","The set of regular (invertible) matrices A € R”*” is a group with respect to matrix multiplication"
"Matrix multiplication","Matrix multiplication as defined in (2.13)"
"Group","A set that is a group with respect to matrix multiplication"
"Abelian","Since matrix multiplication is not commutative, the group is not Abelian"
"Vector Spaces","Sets that in addition to an inner operation + also contain an outer operation -"
"Scalar multiplication","The multiplication of a vector x € G by a scalar \ €"
"solution" ,"Aw = b represents a mathematical equation where we seek to find a vector x that satisfies the equation."
"iteration" ,"An iterative method involves repeating a process to reach a desired outcome, often expressed in the form att) = Cg") +4."
"residual error" ,"||a‘**+) — a,|| measures the difference between successive approximations to ascertain convergence."
"norm" ,"|| - || is a mathematical function that assigns a length or size to vectors, allowing comparison between them."
"vector spaces" ,"A vector space is a structured space in which vectors live, defined by operations that add vectors and multiply by scalars."
"matrix-vector notation" ,"A compact representation of systems of linear equations using matrices and vectors to simplify analysis."
"group" ,"A group is a set of elements with an operation that satisfies certain axioms such as closure, associativity, identity, and invertibility."
"element-wise multiplication","c = ab with c; = a,b; this “array multiplication” is common to many programming languages but makes mathematically limited sense using the standard rules for matrix multiplication."
"matrix multiplication","By treating vectors as n x 1 matrices, we can use the matrix multiplication as defined in (2.13)."
"outer product","ab’ € R"*” (outer product) indicates a specific type of multiplication for vectors."
"inner product","a'b € R (inner/scalar/dot product) indicates another specific type of multiplication for vectors."
"vector space","V = R",n € N is a vector space with operations defined."
"vector addition","Addition: x+y = (%1,...,"
"Linear Combination","Every v € V of the form v = Σ ai xi with ai € R is a linear combination of the vectors x1,..., xk."
"0-vector","The 0-vector can always be written as the linear combination of k vectors a1,..., ak because 0 = Σ Oai is always true."
"Linear (In)dependence","If there is a non-trivial linear combination such that 0 = Σ ai xi with at least one ai ≠ 0, the vectors a1,..., ak are linearly dependent."
"Trivial Solution","If only the trivial solution exists, i.e., ai = ... = ak = 0, the vectors a1,..., ak are linearly independent."
"Linear Independence","Linear independence is one of the most important concepts in linear algebra."
"matrix multiplication","matrix multiplication is not commutative, i.e., AB # BA"
"identity matrix","In R^n, we define the identity matrix"
"associativity","Associativity refers to the way in which the elements are grouped in operations."
"distributivity","Distributivity relates to how multiplication distributes over addition."
"dimensions","the dimensions of the results can be different."
"inverse","An inverse matrix, when multiplied with the original matrix, yields the identity matrix."
"regular","A regular matrix is one that is invertible."
"invertible","An invertible matrix has an inverse."
"nonsingular","A nonsingular matrix is one that is invertible."
"singular","A singular matrix is one that does not have an inverse."
"noninvertible","A noninvertible matrix does not have an inverse."
"linear combination","Every vector x € V is a linear combination of vectors from B, and every linear combination is unique."
"linearly dependent","Adding any other vector to this set will make it linearly dependent."
"canonical/standard basis","In R3, the canonical/standard basis is e={ [1,0,0], [0,1,0], [0,0,1] }."
"linearly independent","The set A is linearly independent, but not a generating set (and no basis) of IR*."
"generating set","The set A is linearly independent, but not a generating set (and no basis) of IR*."
"basis","Every vector space V possesses a basis B."
"finite-dimensional vector spaces","We only consider finite-dimensional vector spaces V."
"inner product","the inner product (-, -) is uniquely determined through A."
"symmetric","the symmetry of the inner product means that A is symmetric."
"positive definite","the positive definiteness of the inner product implies that Va €V\\{0}:a' Aw >0."
"inner product space","a vector space with inner product."
"vector space","a collection of vectors that can be added together and multiplied by scalars."
"symmetric positive definite","a symmetric matrix A © R”*” that satisfies (3.11)."
"positive semidefinite","if only > holds in (3.11), then A is called symmetric, positive semidefinite."
"linear combination","A way to combine vectors by adding them together and scaling them with scalars."
"linearly dependent","Vectors are linearly dependent if at least one of them can be expressed as a combination of the others."
"linearly independent","Vectors are linearly independent if no vector in the set can be written as a combination of the others."
"basis","A set of vectors that can represent every vector in the vector space through linear combinations."
"closure property","The property that guarantees operations on vectors yield results within the same vector space."
"subspace","A subset of a vector space that is also a vector space under the same operations." 
"homogeneous linear equations","A type of system of equations where all the constant terms are zero." 
"solution space","The set of all possible solutions to a given system of equations."
"nonzero entry","the first nonzero entry per row must be | and all other entries in the corresponding column must be 0."
"standard unit vectors","the columns j;,...,3, with the pivots (marked in bold) are the standard unit vectors €,,...,e, € R*."
"augmented matrix","we extend this matrix to an n x n-matrix A by adding n — k rows."
"diagonal","the diagonal of the augmented matrix A contains either 1 or —1."
"Gaussian Elimination","we use Gaussian elimination to bring it into reduced row-echelon form."
"inverse matrix","To determine the inverse of the matrix A." 
"reduced row-echelon form","use Gaussian elimination to bring it into reduced row-echelon form."
"Inverse","To compute the inverse A~' of A € R”*”, we need to find a matrix X that satisfies AX = I,,."
"Matrix","We can write this down as a set of simultaneous linear equations AX = I,,, where we solve for X = [a,|---|a,,]."
"Augmented matrix","We use the augmented matrix notation for a compact representation of this set of systems of linear equations."
"Reduced row-echelon form","This means that if we bring the augmented equation system into reduced row-echelon form, we can read out the inverse on the right-hand side of the equation system."
"Systems of linear equations","Hence, determining the inverse of a matrix is equivalent to solving systems of linear equations."
"Kernel","Not defined in the provided text."
"Null space","Not defined in the provided text."
"Pivots","Now, we look at the fifth column, which is our second non-pivot column."
"mapping","a function that associates every element of one set with an element of another set."
"homomorphisms","structure-preserving mappings between algebraic structures."
"transformation matrices","matrices that represent linear transformations between vector spaces."
"vector spaces","collections of vectors that can be added together and multiplied by scalars."
"linear mapping","a mapping between two vector spaces that preserves the operations of vector addition and scalar multiplication."
"coordinates","numerical values representing a point in a space, based on a specific basis."
"basis","a set of vectors in a vector space such that every vector in the space can be expressed as a linear combination of the basis vectors."
"composition","the combining of two or more functions to form a new function."
"Reduced Row Echelon Form","It allows us to determine the general solution of a system of linear equations in a straightforward way."
"Gaussian Elimination","An algorithm that performs elementary transformations to bring a system of linear equations into reduced row-echelon form."
"System of Linear Equations","A collection of linear equations that can be solved together."
"Elementary Transformations","Operations used in Gaussian elimination to change a system of equations."
"Non-Pivot Columns","Columns in a matrix that do not contain a leading entry (or pivot)."
"Pivot Columns","Columns in a matrix that contain a leading entry after the matrix has been transformed into row-echelon form."
"Linear Combination","An expression formed from a set of terms by multiplying each term by a constant and adding the results."
"Image and Kernel","For ® : V — W, we define the kernel/null space ker(®) := © (Ow) = {v EV: ®(v) = Ow} and the image/range Im(®) := ®(V) = {w € W|dv EV : Ov) = w}."
"Kernel","The kernel is the set of vectors in v € V that ® maps onto the neutral element Oy € W."
"Image","The image is the set of vectors w € W that can be 'reached' by ® from any vector in V."
"Linear mapping","A mapping ® : V — W, where V, W are vector spaces."
"Subspace","Im(®) C W is a subspace of W, and ker(®) C V is a subspace of V."
"Null space","The null space is never empty."
"orthogonal matrices","special matrices that preserve the length of a vector when transformed."
"dot product","a mathematical operation that takes two equal-length sequences of numbers and returns a single number."
"inner product","a generalization of the dot product that measures the angle between vectors."
"angle","the measure of the rotation needed to align one vector with another."
"preserve","to maintain or keep unchanged."
"transformations","operations that change the position, size, or shape of geometric figures."
"rotations","transformations that turn a figure about a fixed point."
"orthonormal basis","a set of vectors that are all unit vectors and orthogonal to each other."
"angle","computed using the inner product."
"inner product","a mathematical operation that combines two vectors to produce a scalar."
"orthogonal","vectors that are perpendicular to each other."
"orthonormal","matrices that are orthogonal and have unit length."
"orthogonal matrix","A square matrix A € R”*” is orthogonal if its columns are orthonormal."
"distances","the measurement of space between two points."
"cosine","a trigonometric function used to relate the angle and sides of a triangle."
"transpose","the operation of converting a matrix into its transposed form."
"affine subspace","a solution of a linear inhomogeneous equation system Aga = b, where A € R”*”", b € R” and rk(A) = n — k."
"homogeneous equation systems","the solution was a vector subspace, which we can also think of as a special affine space with support point ao = 0."
"affine mappings","mappings between two affine spaces that are closely related to linear mappings."
"linear mappings","mappings between vector spaces where the composition is also a linear mapping."  
"vector spaces","mathematical structures consisting of vectors that can be added together and multiplied by scalars."
"composition of linear mappings","the operation where two linear mappings are combined to form another linear mapping."
"Theorem 2.20","With a basis change in V (B is replaced with B) and W (C is replaced with C), the transformation matrix A of a linear mapping ® : V — W is replaced by an equivalent matrix A g."
"transformation matrix","The matrix that represents a linear mapping between vector spaces with respect to given bases."
"linear mapping","A function that maps vectors from one vector space to another while preserving vector addition and scalar multiplication."
"basis change","A replacement of the basis vectors of a vector space with another set of basis vectors."
"ordered bases","A sequence of basis vectors that defines the structure of vector spaces V and W."
"homomorphism","A structure-preserving map between two algebraic structures, in this context between vector spaces V and W."
"automorphism","A transformation that maps a vector space onto itself while preserving its structure."
"identity mapping","The mapping that sends every element to itself in a vector space."
"inner product","An inner product of two functions u : R — R and v: R — R can be defined as the definite integral."
"integral","Then the sum over individual components of vectors turns into an integral."
"norms","As with our usual inner product, we can define norms and orthogonality by looking at the inner product."
"orthogonality","As with our usual inner product, we can define norms and orthogonality by looking at the inner product."
"orthogonal","If (3.37) evaluates to 0, the functions u and v are orthogonal."
"Hilbert space","leading to the definition of a Hilbert space."
"linear combination","how to linearly combine e, and e2 to obtain 2."
"basis","any basis of IR? defines a valid coordinate system."
"coordinate representation","the same vector x from before may have a different coordinate representation in the (b,, b2) basis."
"standard basis","coordinates of x with respect to the standard basis (e;, e2)"
"geometric vector","a geometric vector x € R? with coordinates [2,3]."
"basis vectors","If we use the basis vectors b; = [1, —1]', bs = [1, 1]"."
"n-dimensional vector space","For an n-dimensional vector space V and an ordered."
"vectors","We represent numerical data as vectors and represent a table of such data as a matrix."
"matrices","We represent a table of such data as a matrix."
"linear algebra","The study of vectors and matrices is called linear algebra."
"similarity","The idea is that vectors that are similar should be predicted to have similar outputs by our machine learning algorithm."
"operations","To formalize the idea of similarity between vectors, we need to introduce operations that take two vectors as input and return a numerical value representing their similarity."
"similarity and distances","The construction of similarity and distances is central to analytic geometry."
"analytic geometry","The construction of similarity and distances is central to analytic geometry."
"matrix decomposition","In Chapter 4, we introduce some fundamental concepts about matrices and matrix decomposition."
"machine learning","Some operations on matrices are extremely useful in machine learning."
"augmented matrix","The augmented matrix [A | b] compactly represents the system of linear equations Aw = b."
"elementary transformations","We use ~» to indicate a transformation of the augmented matrix using elementary transformations."
"Swapping Rows","Swapping Rows | and 3 leads to."
"Row","Row 1, Row 2, Row 3, etc. refers to the specific rows in a matrix."
"linear equations","The augmented matrix represents the system of linear equations."
"d(a,y)","distance function defined as d(a,y) = 0 if and only if r=y."
"symmetry","d(x, y) = d(y, x) for all a, y in V."
"triangle inequality","d(x, z) < d(a,y) + d(y, z) for all a, y, z in V."
"inner products","mathematical operations that produce a scalar from two vectors, with properties resembling metrics."
